Column1,year,player_api_id,player_name,birthday,height,weight,overall_rating,crossing,finishing,heading_accuracy,short_passing,dribbling,volleys,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,balance,jumping,stamina,aggression,interceptions,positioning,marking,penalties,gk_reflexes,image
471,2016,164684,James Rodriguez,12-Jul-91,180.34,165,87,88,85,68,84,87,91,86,80,85,78,78,74,55,73,74,58,83,25,81,14,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23098904_860947057416529_4062654615198367744_n.jpg
452,2016,36183,Jerome Boateng,3-Sep-88,193.04,198,87,69,34,87,75,67,53,31,81,73,74,83,54,76,75,82,84,47,84,46,5,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/24125530_145406529446284_995122434761818112_n.jpg
472,2016,169200,Kevin de Bruyne,19-Dec-87,187.96,174,86,90,82,53,88,85,82,77,82,86,76,78,75,65,85,68,52,83,30,77,13,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23161205_371415773303759_8924023871569395712_n.jpg
442,2016,27299,Manuel Neuer,28-Jun-91,180.34,168,90,15,13,25,48,16,11,11,47,31,58,61,35,78,44,29,30,12,10,37,87,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/20837571_279096399238754_7339511252395229184_n.jpg
469,2016,129944,Marco Reus,24-Jun-87,170.18,159,86,85,83,51,86.33333333,86.33333333,85.33333333,84,79,85,89,91,82,70,73,47,50,87,30,84,11,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/18013490_805976599553755_902646450234589184_n.jpg
454,2016,36388,Mats Hummels,24-Jan-87,182.88,187,86,64,55,90,78,68,60,53,82,77,62,66,58,70,67,71,91,56,86,68,6,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23280142_385444035221487_2943559895057694720_n.jpg
453,2016,36378,Mesut Oezil,9-Sep-85,175.26,143,88,80,75,54,89,86,77,79,84,90,77,68,70,52,64,54,24,84,22,76,14,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23498108_1395714340537894_8544427532303204352_n.jpg
437,2016,19327,Miranda,27-Mar-86,193.04,203,85,48,43,85,64,62,51,39,65,66.33333333,74,77,58,86,65,86.33333333,86.66666667,43,89,49,12,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23416393_143904896246194_6186895772798156800_n.jpg
438,2016,19533,Neymar,31-May-89,180.34,165,90,72,88.5,62,76.5,94.5,83,79,74,93,91,90,84,61,79,56,36,89,21,81,11,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/23825318_198876817352221_8107508579524673536_n.jpg
474,2016,248453,Paul Pogba,16-Dec-88,190.5,203,86,76,70.4,72,85,88,84,80,81,89,75,79,61,85,90,77.6,71,83,70,76,3,https://instagram.fmkc1-1.fna.fbcdn.net/t51.2885-15/e35/21576743_1932551677032777_3859508765246095360_n.jpg
